timestamp,gpu_util_pct,gpu_mem_used_mb,cpu_util_pct,ram_used_mb,pcie_tx_mbps,pcie_rx_mbps
1785412966.5776234,0,5440.5625,2.9,10155.8984375,0.5712890625,0.380859375
1785412967.1203122,0,5440.5625,3.0,10160.1171875,0.5244140625,0.380859375
1785412967.6629796,0,5440.5625,9.0,10172.00390625,0.5712890625,0.4287109375
1785412968.2058387,0,5440.5625,8.1,10177.26953125,0.5244140625,0.380859375
1785412968.7485116,0,5440.5625,8.1,10184.30078125,0.5244140625,0.380859375
1785412969.29126,0,5440.5625,7.4,10192.26171875,0.5244140625,0.380859375
1785412969.833907,0,5440.5625,7.1,10189.21875,0.5244140625,0.380859375
1785412970.3765717,0,5440.5625,6.6,10194.9609375,0.5712890625,0.380859375
1785412970.9194071,0,5440.5625,13.0,10197.17578125,0.619140625,0.4765625
1785412971.4619381,0,5440.5625,4.3,10196.03515625,0.5244140625,0.4287109375
1785412972.0048254,0,5440.5625,5.4,10201.3125,0.5244140625,0.4287109375
1785412972.5475986,0,5440.5625,3.3,10203.7734375,0.5244140625,0.380859375
1785412973.0900815,0,5440.5625,6.7,10240.7421875,0.5712890625,0.380859375
1785412973.632866,0,5440.5625,6.5,10240.83203125,0.5712890625,0.4287109375
1785412974.1756961,0,5440.5625,5.5,10248.890625,0.5244140625,0.4287109375
1785412974.7183123,0,5440.5625,3.4,10251.88671875,0.5712890625,0.380859375
1785412975.2609375,0,5440.5625,5.7,10248.9296875,0.5244140625,0.4287109375
1785412975.8036847,0,5440.5625,5.4,10260.921875,0.5244140625,0.380859375
1785412976.3462434,0,5440.5625,3.6,10265.265625,0.5244140625,0.380859375
1785412976.8889973,0,5440.5625,2.3,10258.890625,0.5712890625,0.380859375
1785412977.431874,0,5440.5625,2.8,10266.58984375,1.0966796875,0.380859375
1785412977.9742785,0,5440.5625,22.8,10450.64453125,0.5244140625,0.4287109375
1785412978.5167158,0,5440.5625,7.7,10585.296875,0.5712890625,0.4287109375
1785412979.059225,0,5440.5625,5.8,10631.82421875,0.5712890625,0.380859375
1785412979.6017442,0,5440.5625,5.9,10658.3984375,0.5244140625,0.4287109375
1785412980.1441646,0,5440.5625,6.7,10716.19921875,0.619140625,0.4287109375
1785412980.6868775,0,5440.5625,5.3,10745.40234375,0.5712890625,0.380859375
1785412981.229747,0,5440.5625,3.0,10743.81640625,0.5244140625,0.380859375
1785412981.7724082,0,5440.5625,5.6,10741.74609375,0.6669921875,0.380859375
1785412982.3169987,0,5440.5625,3.5,10716.59765625,0.5244140625,6.5322265625
1785412982.8597405,0,5440.5625,3.4,10726.49609375,0.5244140625,0.380859375
1785412983.403786,0,5440.5625,5.0,10787.171875,8.1533203125,0.810546875
1785412983.946035,0,5440.5625,11.9,10761.23046875,1.0009765625,0.4287109375
1785412984.4884555,0,5440.5625,5.6,10782.80078125,1.5732421875,1.62109375
1785412985.0312395,0,5440.5625,3.5,10780.34375,0.5244140625,0.380859375
1785412985.5727444,100,5440.5625,6.7,10784.75390625,2.4794921875,9.583984375
1785412986.1145506,100,5440.5625,4.5,10792.16015625,1.5732421875,3.71875
1785412986.65643,100,5440.5625,5.0,10801.953125,2.908203125,7.533203125
1785412987.198722,100,5440.5625,4.1,10809.95703125,1.287109375,9.6318359375
1785412987.7403827,100,5440.5625,5.2,10814.6953125,6.6279296875,3.48046875
