timestamp,gpu_util_pct,gpu_mem_used_mb,cpu_util_pct,ram_used_mb,pcie_tx_mbps,pcie_rx_mbps
1785322155.3077557,100,5474.5,7.1,10035.65625,5.197265625,15.353515625
1785322155.8514616,100,5474.5,6.3,10039.64453125,5.33984375,14.638671875
1785322156.3951945,100,5474.5,4.9,10038.66796875,3.2421875,4.4814453125
1785322156.9366457,100,5474.5,5.4,9829.75390625,1.0966796875,0.380859375
1785322157.4778013,0,5474.5,6.8,9775.63671875,0.5244140625,0.380859375
1785322158.0193653,0,5474.5,4.6,9268.8046875,0.4765625,0.3330078125
1785322158.5610383,0,5474.5,2.8,9274.1328125,0.4287109375,0.380859375
1785322159.1027439,0,5474.5,2.2,9272.00390625,0.4287109375,0.3330078125
1785322159.6444757,0,5474.5,2.4,9275.8515625,0.4765625,0.28515625
1785322160.1859844,0,5474.5,2.4,9279.21875,0.4287109375,0.3330078125
1785322160.7277045,0,5474.5,2.1,9279.18359375,0.4287109375,0.3330078125
1785322161.2693398,0,5474.5,2.3,9279.87890625,0.4765625,0.3330078125
1785322161.8108752,0,5474.5,1.8,9279.8671875,0.4765625,0.380859375
1785322162.352457,0,5474.5,1.9,9279.80078125,0.4765625,0.28515625
1785322162.894133,0,5474.5,2.3,9284.515625,0.5244140625,0.3330078125
1785322163.435897,0,5474.5,2.3,9284.20703125,1.0009765625,0.3330078125
1785322163.9774668,0,5474.5,2.0,9282.59375,0.4765625,7.056640625
1785322164.519122,0,5474.5,1.9,9282.28125,0.4287109375,0.3330078125
1785322165.0607615,0,5474.5,2.3,9285.20703125,1.287109375,1.3828125
1785322165.6022456,0,5474.5,3.7,9279.35546875,0.4765625,0.3330078125
1785322166.14358,0,5474.5,4.6,9312.4921875,1.859375,4.4814453125
1785322166.6849935,0,5474.5,3.5,9313.88671875,0.4765625,0.3330078125
1785322167.226486,0,5474.5,3.5,9280.1015625,5.197265625,0.3330078125
1785322167.7680566,0,5474.5,4.1,9319.35546875,0.4765625,0.3330078125
1785322168.3096507,0,5474.5,3.8,9331.28125,0.4287109375,0.3330078125
1785322168.8509657,0,5474.5,2.8,9338.140625,0.4765625,0.3330078125
1785322169.3924623,0,5474.5,2.5,9334.80078125,0.4765625,0.3330078125
1785322169.9341285,0,5474.5,3.1,9348.5390625,1.0009765625,0.3330078125
1785322170.4756637,0,5474.5,4.3,9320.67578125,0.4287109375,0.3330078125
1785322171.0172436,0,5474.5,2.7,9319.9921875,0.4765625,0.3330078125
1785322171.5589015,0,5474.5,1.9,9306.8515625,0.4765625,0.3330078125
1785322172.1006,0,5474.5,2.2,9301.6328125,0.4287109375,0.3330078125
1785322172.642308,0,5474.5,2.6,9301.67578125,0.4765625,0.28515625
1785322173.183687,0,5474.5,2.9,9293.38671875,0.4765625,0.3330078125
1785322173.725267,0,5474.5,2.0,9293.60546875,0.4287109375,0.3330078125
1785322174.2677271,0,5474.5,1.9,9294.53125,0.5244140625,0.380859375
1785322174.8104234,0,5474.5,2.4,9292.58984375,0.5244140625,0.380859375
1785322175.352952,0,5474.5,2.3,9289.01171875,0.5244140625,0.380859375
1785322175.895632,0,5474.5,2.4,9285.73828125,0.5244140625,0.380859375
1785322176.4384928,0,5474.5,1.8,9284.5625,1.0966796875,0.380859375
1785322176.9810216,0,5474.5,2.3,9288.78125,0.5712890625,0.380859375
1785322177.5238469,0,5474.5,2.4,9289.484375,0.5244140625,0.4287109375
1785322178.0666602,0,5474.5,3.1,9289.80078125,0.5244140625,0.380859375
1785322178.6091752,0,5474.5,2.3,9289.46875,0.5244140625,0.380859375
1785322179.1516726,0,5474.5,2.3,9285.73046875,0.5244140625,0.380859375
1785322179.6942077,0,5474.5,2.2,9285.80078125,0.5244140625,0.380859375
1785322180.2367678,0,5474.5,2.2,9285.6953125,0.5712890625,0.380859375
1785322180.7793365,0,5474.5,2.2,9286.16015625,0.4765625,0.380859375
1785322181.3220797,0,5474.5,2.5,9284.97265625,0.5244140625,0.4287109375
1785322181.8647418,0,5474.5,2.0,9284.13671875,0.5244140625,0.380859375
1785322182.4075031,0,5474.5,1.7,9284.40234375,0.5244140625,0.380859375
1785322182.9501286,0,5474.5,1.8,9283.6015625,0.5244140625,0.380859375
1785322183.4929004,0,5474.5,2.9,9279.01953125,0.5244140625,0.380859375
1785322184.0360117,0,5474.5,2.3,9278.84765625,0.5244140625,0.4287109375
1785322184.5788002,0,5474.5,2.3,9278.78515625,1.0966796875,0.380859375
