timestamp, utilization.gpu [%], memory.used [MiB]
2026/07/26 00:26:08.057, 0 %, 6865 MiB
2026/07/26 00:26:09.058, 0 %, 6865 MiB
2026/07/26 00:26:10.058, 0 %, 6865 MiB
2026/07/26 00:26:11.058, 0 %, 6865 MiB
2026/07/26 00:26:12.058, 0 %, 6865 MiB
2026/07/26 00:26:13.059, 0 %, 6865 MiB
2026/07/26 00:26:14.059, 0 %, 6865 MiB
2026/07/26 00:26:15.059, 0 %, 6865 MiB
2026/07/26 00:26:16.059, 0 %, 6865 MiB
2026/07/26 00:26:17.059, 0 %, 6865 MiB
2026/07/26 00:26:18.060, 0 %, 6865 MiB
2026/07/26 00:26:19.060, 0 %, 6865 MiB
2026/07/26 00:26:20.060, 0 %, 6865 MiB
2026/07/26 00:26:21.061, 0 %, 6865 MiB
2026/07/26 00:26:22.061, 0 %, 6865 MiB
2026/07/26 00:26:23.061, 0 %, 6865 MiB
2026/07/26 00:26:24.061, 0 %, 6865 MiB
2026/07/26 00:26:25.061, 0 %, 6865 MiB
2026/07/26 00:26:26.478, 0 %, 6865 MiB
2026/07/26 00:26:27.478, 0 %, 6865 MiB
2026/07/26 00:26:28.478, 0 %, 6865 MiB
2026/07/26 00:26:29.479, 0 %, 6865 MiB
2026/07/26 00:26:30.479, 0 %, 6865 MiB
2026/07/26 00:26:31.479, 0 %, 6865 MiB
2026/07/26 00:26:32.479, 0 %, 6865 MiB
2026/07/26 00:26:33.480, 0 %, 6865 MiB
2026/07/26 00:26:34.480, 0 %, 6865 MiB
2026/07/26 00:26:35.480, 0 %, 6865 MiB
2026/07/26 00:26:36.480, 0 %, 6865 MiB
2026/07/26 00:26:37.481, 0 %, 6865 MiB
2026/07/26 00:26:38.481, 0 %, 6865 MiB
2026/07/26 00:26:39.481, 0 %, 6865 MiB
2026/07/26 00:26:40.481, 0 %, 6865 MiB
2026/07/26 00:26:41.482, 0 %, 6865 MiB
2026/07/26 00:26:42.482, 0 %, 6865 MiB
2026/07/26 00:26:43.482, 0 %, 6865 MiB
2026/07/26 00:26:44.482, 0 %, 6865 MiB
2026/07/26 00:26:45.483, 0 %, 6865 MiB
2026/07/26 00:26:46.483, 0 %, 6865 MiB
2026/07/26 00:26:47.483, 0 %, 6865 MiB
2026/07/26 00:26:48.483, 0 %, 6865 MiB
2026/07/26 00:26:49.484, 0 %, 6865 MiB
2026/07/26 00:26:50.484, 0 %, 6865 MiB
2026/07/26 00:26:51.484, 0 %, 6865 MiB
2026/07/26 00:26:52.484, 0 %, 6865 MiB
2026/07/26 00:26:53.485, 0 %, 6865 MiB
2026/07/26 00:26:54.485, 0 %, 6865 MiB
2026/07/26 00:26:55.485, 0 %, 6865 MiB
2026/07/26 00:26:56.486, 0 %, 6865 MiB
2026/07/26 00:26:57.486, 0 %, 6865 MiB
2026/07/26 00:26:58.486, 0 %, 6865 MiB
2026/07/26 00:26:59.486, 0 %, 6865 MiB
2026/07/26 00:27:00.486, 0 %, 6865 MiB
2026/07/26 00:27:01.487, 0 %, 6865 MiB
2026/07/26 00:27:02.487, 0 %, 6865 MiB
2026/07/26 00:27:03.487, 0 %, 6865 MiB
2026/07/26 00:27:04.487, 0 %, 6865 MiB
2026/07/26 00:27:05.488, 0 %, 6865 MiB
2026/07/26 00:27:06.488, 0 %, 6865 MiB
2026/07/26 00:27:07.488, 0 %, 6865 MiB
2026/07/26 00:27:08.488, 0 %, 6865 MiB
2026/07/26 00:27:09.489, 0 %, 6865 MiB
2026/07/26 00:27:10.489, 0 %, 6865 MiB
2026/07/26 00:27:11.489, 0 %, 6865 MiB
2026/07/26 00:27:12.489, 0 %, 6865 MiB
2026/07/26 00:27:13.490, 0 %, 6865 MiB
2026/07/26 00:27:14.490, 0 %, 6865 MiB
2026/07/26 00:27:15.490, 0 %, 6865 MiB
2026/07/26 00:27:16.490, 0 %, 6865 MiB
2026/07/26 00:27:17.491, 0 %, 6865 MiB
2026/07/26 00:27:18.491, 0 %, 6865 MiB
2026/07/26 00:27:19.491, 0 %, 6865 MiB
2026/07/26 00:27:20.491, 0 %, 6865 MiB
2026/07/26 00:27:21.491, 0 %, 6865 MiB
2026/07/26 00:27:22.492, 0 %, 6865 MiB
2026/07/26 00:27:23.492, 0 %, 6865 MiB
2026/07/26 00:27:24.492, 0 %, 6865 MiB
2026/07/26 00:27:25.492, 0 %, 6865 MiB
2026/07/26 00:27:26.493, 0 %, 6865 MiB
2026/07/26 00:27:27.493, 0 %, 6865 MiB
2026/07/26 00:27:28.493, 0 %, 6865 MiB
2026/07/26 00:27:29.493, 0 %, 6865 MiB
2026/07/26 00:27:30.494, 0 %, 6865 MiB
2026/07/26 00:27:31.494, 0 %, 6865 MiB
